Typee,Individual,Tree Size,Tree Depth,Diversity
{ x:Integer where ((>[??] x) 0) },((% 9) -59),5,3,246.299
{ x:Integer where ((>[??] x) 0) },((\q:Integer -> q) (if False then 45 else -15)),7,3,379.674
{ x:Integer where ((>[??] x) 0) },((\e:Integer -> e) (if True then -17 else -34)),7,3,389.311
{ x:Integer where ((>[??] x) 0) },(if (if True then True else False) then 15 else (if True then -49 else 79)),10,3,584.897
{ x:Integer where ((>[??] x) 0) },((\s:Integer -> s) 43),4,3,312.855
{ x:Integer where ((>[??] x) 0) },((\c:Integer -> c) (if False then 13 else -48)),7,3,381.369
{ x:Integer where ((>[??] x) 0) },(if True then -85 else 77),4,2,299.368
{ x:Integer where ((>[??] x) 0) },((\o:Integer -> o) (if False then -52 else -84)),7,3,394.793
{ x:Integer where ((>[??] x) 0) },((% 83) 43),5,3,251.408
{ x:Integer where ((>[??] x) 0) },((% 51) 1),5,3,244.045
{ x:Integer where ((>[??] x) 0) },((% 25) (if True then 49 else 80)),8,3,357.836
{ x:Integer where ((>[??] x) 0) },((\f:Integer -> f) -88),4,3,322.515
{ x:Integer where ((>[??] x) 0) },(if False then -52 else -2),4,2,281.655
{ x:Integer where ((>[??] x) 0) },((% 11) 58),5,3,245.774
{ x:Integer where ((>[??] x) 0) },5,1,1,310.612
{ x:Integer where ((>[??] x) 0) },(if True then -76 else -16),4,2,292.873
{ x:Integer where ((>[??] x) 0) },((% -48) (if False then -69 else -85)),8,3,360.478
{ x:Integer where ((>[??] x) 0) },((% -7) -25),5,3,243.502
{ x:Integer where ((>[??] x) 0) },(if True then 53 else 36),4,2,289.58
{ x:Integer where ((>[??] x) 0) },(if (if True then True else True) then (if True then -4 else 77) else 20),10,3,565.408
{ x:Integer where ((>[??] x) 0) },91,1,1,319.782
{ x:Integer where ((>[??] x) 0) },((% 12) -27),5,3,242.459
{ x:Integer where ((>[??] x) 0) },((% 79) -11),5,3,247.235
{ x:Integer where ((>[??] x) 0) },(if (if False then False else True) then (if True then 99 else -16) else 12),10,3,568.92
{ x:Integer where ((>[??] x) 0) },(if False then -1 else 45),4,2,280.031
{ x:Integer where ((>[??] x) 0) },(if False then -21 else 34),4,2,279.715
{ x:Integer where ((>[??] x) 0) },((% -19) (if False then -18 else -93)),8,3,350.407
{ x:Integer where ((>[??] x) 0) },70,1,1,315.376
{ x:Integer where ((>[??] x) 0) },((% 38) (if False then 66 else -4)),8,3,344.815
{ x:Integer where ((>[??] x) 0) },((% 2) -29),5,3,243.012
{ x:Integer where ((>[??] x) 0) },((% 64) -44),5,3,249.135
